,date,BHP.Open,BHP.High,BHP.Low,BHP.Close,BHP.Volume,BHP.Adjusted
1,1/3/2000,12.862573,12.862573,12.52966,12.52966,57616,5.006402
2,1/4/2000,13.104692,13.104692,12.892838,12.983633,94582,5.187793
3,1/5/2000,12.953368,13.134957,12.832308,13.134957,198456,5.248257
4,1/6/2000,13.013898,13.074427,12.771779,12.923103,40889,5.163606
5,1/7/2000,13.316546,13.800784,13.316546,13.800784,247605,5.514297
6,1/10/2000,13.679725,13.800784,13.58893,13.679725,86115,5.465925
7,1/11/2000,13.195487,13.316546,13.044163,13.074427,56171,5.224071
8,1/12/2000,13.134957,13.195487,12.953368,13.104692,133612,5.236164
9,1/13/2000,13.225752,13.225752,13.013898,13.195487,76409,5.272441
10,1/14/2000,13.165222,13.195487,13.134957,13.195487,17553,5.272441
11,1/18/2000,12.832308,12.953368,12.620454,12.953368,53899,5.175699
12,1/19/2000,12.741514,12.741514,12.52966,12.680984,35107,5.066865
13,1/20/2000,12.832308,13.104692,12.832308,13.013898,23336,5.199885
14,1/21/2000,12.771779,12.771779,12.590189,12.590189,46878,5.030586
15,1/24/2000,12.46913,12.46913,12.227011,12.227011,149513,4.885473
16,1/25/2000,12.287541,12.46913,12.227011,12.227011,26020,4.885473
17,1/26/2000,12.227011,12.317805,12.075686,12.075686,46878,4.82501
18,1/27/2000,11.984892,12.105951,11.863832,11.954627,37172,4.77664
19,1/28/2000,11.984892,11.984892,11.561183,11.561183,29118,4.619432
20,1/31/2000,11.440124,11.561183,11.2888,11.470389,106353,4.583154
21,2/1/2000,11.470389,11.500654,11.319064,11.500654,53280,4.595247
22,2/2/2000,11.500654,11.500654,11.440124,11.440124,53280,4.571062
23,2/3/2000,11.470389,11.470389,11.258535,11.319064,15488,4.52269
24,2/4/2000,11.319064,11.440124,11.076945,11.440124,27259,4.571062
25,2/7/2000,11.500654,11.621713,11.319064,11.349329,137536,4.534783
26,2/8/2000,11.621713,11.682243,11.500654,11.530919,25814,4.607341
27,2/9/2000,11.16774,11.16774,11.016416,11.016416,49149,4.401763
28,2/10/2000,10.834826,10.834826,10.713767,10.804562,22510,4.317115
29,2/11/2000,10.532178,10.713767,10.532178,10.622972,51628,4.244557
30,2/14/2000,10.320323,10.622972,10.320323,10.501913,59681,4.196186
31,2/15/2000,10.713767,10.865091,10.622972,10.744032,103875,4.292929
32,2/16/2000,10.532178,10.653237,10.441383,10.653237,35107,4.25665
33,2/17/2000,10.501913,10.592707,10.411118,10.592707,122254,4.232464
34,2/18/2000,10.290059,10.350588,10.108469,10.199264,59475,4.075259
35,2/22/2000,10.229529,10.501913,10.229529,10.471648,239758,4.184093
36,2/23/2000,10.04794,10.108469,9.92688,9.98741,198869,3.990609
