Date,Open,High,Low,Close,Volume
1/3/2000,59.25,59.3125,58.5,58.8125,2039300
1/4/2000,58.4375,59.4375,58.25,58.5,3825800
1/5/2000,57.9375,60.5,57.75,60.5,4055900
1/6/2000,59.6875,60.625,59.3125,60.625,4034700
1/7/2000,58.5,59.5,58.5,59.5,4027200
1/10/2000,57.25,57.75,56.875,57.75,2999700
1/11/2000,57,57.75,55.875,57.75,3838800
1/12/2000,57,57.125,56.0625,56.5625,2714700
1/13/2000,56,57.875,55.625,57.375,3973000
1/14/2000,55.5625,55.9375,54.8125,55.3125,4740000
1/18/2000,54.8125,55.75,54.75,55.75,2319500
1/19/2000,56,56.375,55.5625,56,3252700
1/20/2000,54.75,55.125,54,54.6875,5284700
1/21/2000,55.5625,56.625,55.5625,56.25,3514000
1/24/2000,58.25,58.375,55.625,56,2101000
1/25/2000,56,56.25,54.625,54.875,2170500
1/26/2000,53.75,55.1875,53.75,54.8125,2160900
1/27/2000,55.75,55.75,53.8125,54.125,1713200
1/28/2000,54,54.6875,53.6875,53.9375,2663000
1/31/2000,53.625,54,52.75,53.75,2265200
2/1/2000,52.75,54.5625,52.6875,54.5,2342300
2/2/2000,55,55.125,53.25,53.9375,2284100
2/3/2000,51,52.375,50.03125,52.1875,9773800
2/4/2000,49.8125,50.3125,48.5625,49.25,5663700
2/7/2000,48.5,48.875,48.0625,48.5,2954700
2/8/2000,49.125,49.3125,47.4375,48.125,3632000
2/9/2000,47.375,47.375,45.625,45.875,5604200
2/10/2000,45.125,48.625,45.125,48.125,7042500
2/11/2000,46.25,47.5625,46.25,46.625,6044400
2/14/2000,46.1875,47.5,45.6875,47.4375,2997200
2/15/2000,46.25,47.625,46,47.375,5561700
2/16/2000,47.6875,50,47.625,49.25,4224900
2/17/2000,50.875,51.125,48.5625,48.875,2896800
2/18/2000,48.25,48.375,46.4375,46.875,2183200
2/22/2000,45,45.625,44.125,45.375,3774100
2/23/2000,44.75,45.125,44.0625,45,2418800
2/24/2000,44.125,44.25,43.125,43.625,3329400
2/25/2000,43.875,44.875,43.875,44.375,3337900
2/28/2000,43.875,46,43.3125,45.8125,3456900
2/29/2000,47.125,47.625,46.6875,47.0625,4439200
3/1/2000,47.875,48.5,46.75,47.625,3588000
3/2/2000,47.0625,48.6875,46.875,47.9375,3048000
3/3/2000,48,48.1875,47.3125,47.5,2208500
3/6/2000,47.25,48,46.75,47.1875,1665800
3/7/2000,47.9375,51,47.375,50.6875,4960000
3/8/2000,51.75,54.75,51.75,53,8393600
3/9/2000,52.3125,53,51.5,52.875,3784400
3/10/2000,52.6875,53.4375,51.875,53.375,5126400
3/13/2000,51.875,52.8125,51.3125,51.5625,1790200
3/14/2000,51.9375,52,50.8125,51.125,2350200
3/15/2000,53.125,53.4375,51.625,52.75,8784600
3/16/2000,54.375,54.375,52.875,53.75,7059900
3/17/2000,52.4375,52.875,51.125,51.375,3342900
3/20/2000,51.5625,51.625,50,50.3125,3207300
3/21/2000,51.9375,51.9375,51.0625,51.75,4428500
3/22/2000,51.375,52,50.9375,51.4375,2735600
3/23/2000,51.375,51.5625,50.25,51.5,2627100
3/24/2000,51.125,51.875,50.1875,50.625,4824200
3/27/2000,49,49.6875,48.1875,49,3108400
3/28/2000,48.9375,49.4375,48,48.375,2385200
3/29/2000,48.375,50.5,48.3125,50.3125,3409100
3/30/2000,51.5625,52.25,51.125,51.9375,4023900
3/31/2000,55.125,55.125,52.875,53.25,6166000
4/3/2000,52.875,53.3125,52.25,52.625,2276100
4/4/2000,53.25,53.25,51.6875,52.6875,5295800
4/5/2000,51.875,52.5,51.5,51.5,2706100
4/6/2000,51.25,52.4375,50.9375,51.9375,4344800
4/7/2000,51.8125,51.875,50.75,51.1875,2415100
4/10/2000,51.25,51.625,50.875,51.125,3448400
4/11/2000,52.25,52.75,51.6875,52.1875,6491500
4/12/2000,51.75,52.5,50.875,52.125,3862500
4/13/2000,51.6875,51.875,51,51.5,7321400
4/14/2000,50.75,50.8125,49,49.625,5197200
4/17/2000,50,50.125,46.984375,47.5,11017500
4/18/2000,47.6875,48.4375,47.4375,48.125,7765400
4/19/2000,49.25,49.375,48.5,48.8125,6705600
4/20/2000,49.75,50.5,49.6875,49.75,6827300
4/24/2000,49.125,49.75,49.0625,49.75,4561000
4/25/2000,52.375,52.625,52.125,52.25,9940200
4/26/2000,53,53.3125,51.875,52,5178300
4/27/2000,52.625,53.5625,52.25,53,6881800
4/28/2000,52.6875,52.75,50.9375,51,3675700
5/1/2000,51,51.3125,50.125,51.25,3832600
5/2/2000,51,51.6875,50.875,51.4375,6506300
