Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
5/11/2000,-0.084899383,-0.067441275,0.035965111,0.014184692,0.019169993,-0.061368888,-0.09358254,-0.096460252,-0.061368888,0.023530495,0.058758117,0.022728248,0.040821967,-0.003231034,-0.018018479,32.11817128,-0.877681,1.059271,0.584832669,11.137475,-160.1197002,10.42171085,10.50479514,10.68402346,26.04631208,0.881355467,0.118644533,0.687628234,3
5/16/2000,0.049392748,-0.084899383,-0.067441275,0.035965111,0.030397398,0.07456869,-0.005970191,-0.038183844,-0.041061555,0.019169993,0.023530495,0.058758117,0.022728248,0,-0.003231034,37.75062759,-0.665827,0.544767,0.581970835,11.137475,-61.59466792,10.40052545,10.46919792,10.51008434,25.44166023,0.610169083,0.389830917,0.516533405,2
5/24/2000,-0.030583444,0.049392748,-0.084899383,-0.067441275,0.018576358,0.006153789,0.05032508,-0.030213801,-0.062427453,0.030397398,0.019169993,0.023530495,0.058758117,-0.012578729,0,35.75383921,-1.361919,0.484238,0.574989919,11.06604988,-97.26570557,10.3778268,10.40679464,10.29222447,25.15240125,0.779660713,0.220339287,0.353911459,5
5/30/2000,0.018462035,-0.030583444,0.049392748,-0.084899383,0,0.02469261,0.01227004,0.056441332,-0.024097549,0.018576358,0.030397398,0.019169993,0.023530495,-0.01227004,-0.012578729,37.87705851,-1.150065,0.181589,0.546889853,10.99748176,-75.22697644,10.38993275,10.36384732,10.10350923,24.77719044,0.677965959,0.322034041,0.287125404,2
6/5/2000,0.032986532,0.018462035,-0.030583444,0.049392748,0.005917201,0.032986532,0.057679142,0.045256573,0.089427864,0,0.018576358,0.030397398,0.019169993,-0.005952423,-0.01227004,41.68224277,-0.242119,0.332914,0.531605863,10.93165637,-23.30614691,10.4126314,10.35145316,10.00037414,23.84740836,0.49152511,0.50847489,0.301318577,3
6/7/2000,0,0.032986532,0.018462035,-0.030583444,0.008862723,0.008862723,0.035932054,0.060624664,0.048202095,0.005917201,0,0.018576358,0.030397398,-0.005952423,-0.005952423,41.68224277,-0.030265,0.151325,0.504442945,10.868464,-30.04550784,10.44440955,10.33689721,9.954640133,22.93133562,0.49152511,0.50847489,0.369115142,1
6/16/2000,0.068402718,0,0.032986532,0.018462035,0,0.087999987,0.087999987,0.115069319,0.139761929,0.008862723,0.005917201,0,0.018576358,-0.013680069,-0.005952423,49.50811415,0.393444,0.877681,0.531102806,9.351847,118.3432119,10.4913201,10.38849164,10.02790343,21.82268049,0.084745535,0.915254465,0.480226253,6
6/21/2000,0.010958967,0.068402718,0,0.032986532,0.036064897,-0.002721101,0.085278886,0.085278886,0.112348218,0,0.008862723,0.005917201,0,0,-0.013680069,50.69565545,0.363178,0.393443,0.521269962,9.351847,103.2413845,10.50342605,10.44714782,10.18537771,20.37625572,0.016949219,0.983050781,0.630885355,2
6/28/2000,0.034809456,0.010958967,0.068402718,0,0.010582152,0.070874353,0.032088355,0.120088342,0.120088342,0.036064897,0,0.008862723,0.005917201,0,0,54.44562507,0.363179,0.393444,0.512139537,9.42327212,164.7119074,10.54731015,10.54212191,10.42797886,19.58117676,0,1,0.804143292,4
6/30/2000,0,0.034809456,0.010958967,0.068402718,0,0.015831442,0.076123644,0.037337646,0.125337633,0.010582152,0.036064897,0,0.008862723,-0.02384211,0,54.44562507,1.089536,0.272383,0.49501407,9.547915033,136.5733061,10.59573395,10.63291656,10.71947155,18.69459738,0.027396919,0.972603081,0.917859916,1
7/6/2000,-0.051293322,0,0.034809456,0.010958967,0.028013056,-0.053776348,-0.037944905,0.022347296,-0.016438702,0,0.010582152,0.036064897,0,0,-0.02384211,48.2280445,1.361919,0.847417,0.520185708,9.70897647,42.2764155,10.61994585,10.66433438,10.9534924,17.80642777,0.287671047,0.712328953,0.948765682,2
7/12/2000,0.035377802,-0.051293322,0,0.034809456,0.010752746,0.060624594,-0.02116481,-0.005333368,0.054958834,0.028013056,0,0.010582152,0.036064897,-0.010869716,0,52.24631408,1.271124,0.393443,0.511132657,9.857152993,89.86106086,10.6502107,10.73091706,11.16161117,16.63076983,0.109589035,0.890410965,0.912880988,3
7/14/2000,-0.029852904,0.035377802,-0.051293322,0,0.002743497,-0.013605617,0.036266231,-0.045523173,-0.029691731,0.010752746,0.028013056,0,0.010582152,-0.005509678,-0.010869716,48.79523041,1.24086,0.363178,0.500564467,9.993475393,57.3026209,10.64415775,10.76291137,11.29539498,15.52800966,0.260273675,0.739726325,0.844749031,1
7/20/2000,-0.02510593,-0.029852904,0.035377802,-0.051293322,0.017094408,-0.027856974,-0.044206087,0.00566576,-0.076123644,0.002743497,0.010752746,0.028013056,0,0,-0.005509678,46.11146662,0.786887,0.453973,0.497236505,10.118892,13.04191628,10.62599885,10.76954082,11.33458994,15.11304272,0.383561396,0.616438604,0.796042793,3
7/24/2000,0.008438902,-0.02510593,-0.029852904,0.035377802,0,0.028330433,-0.016620948,-0.032970062,0.016901786,0.017094408,0.002743497,0.010752746,0.028013056,-0.008415138,0,47.15483389,0.544768,0.121059,0.470366683,10.23427528,30.71599358,10.6411313,10.78654684,11.31505275,14.52501452,0.378787583,0.621212417,0.729602165,1
7/26/2000,0.030347096,0.008438902,-0.02510593,-0.029852904,0.032970062,0.032970062,0.061300495,0.016349113,0,0,0.017094408,0.002743497,0.010752746,-0.002797123,-0.008415138,50.9080585,0.877681,0.393443,0.464872135,10.3404279,61.1732754,10.6835021,10.83381767,11.2850866,13.58478871,0.212121167,0.787878833,0.694387011,1
8/7/2000,-0.050149803,0.030347096,0.008438902,-0.02510593,0.017192375,-0.016901786,-0.016901786,0.011428647,-0.033522734,0.032970062,0,0.017094408,0.002743497,0,-0.002797123,45.24518136,-0.393444,0.665827,0.479226054,10.43808831,-7.376597966,10.6835021,10.82517051,11.19370235,13.02936923,0.551724374,0.448275626,0.651141564,7
8/14/2000,0.044700176,-0.050149803,0.030347096,0.008438902,0.024897469,0.056194507,0.022100345,0.022100345,0.050430779,0.017192375,0.032970062,0,0.017094408,-0.01126777,0,50.51456653,-0.030265,0.484238,0.47958405,10.471648,43.55570398,10.70014775,10.86264127,11.12139934,12.35183262,0.340425562,0.659574438,0.642069514,4
8/17/2000,0.005449627,0.044700176,-0.050149803,0.030347096,0.008163344,0.033060813,0.06435785,0.030263689,0.030263689,0.024897469,0.017192375,0.032970062,0,0,-0.01126777,51.14744652,-0.363179,0.090795,0.451813403,10.5588108,66.6526219,10.70014775,10.90429148,11.07223128,11.86042198,0.297872191,0.702127809,0.618119294,2
8/21/2000,-0.021978905,0.005449627,0.044700176,-0.050149803,0.0027359,0,0.024897469,0.056194507,0.022100345,0.008163344,0.024897469,0.017192375,0.032970062,-0.019364445,0,48.47677438,-0.605298,0.302649,0.441158803,10.63900058,36.27869393,10.72435965,10.92288274,11.01947732,11.03140759,0.611111162,0.388888838,0.606255317,1
8/25/2000,0.021978905,-0.021978905,0.005449627,0.044700176,0.013642741,0.010899244,0.008163344,0.033060813,0.06435785,0.0027359,0.008163344,0.024897469,0.017192375,0,-0.019364445,51.21977019,0.211854,0.272384,0.42910346,10.71277517,56.76405031,10.8030483,10.96222706,11.00512441,10.37893329,0.388888838,0.611111162,0.584744085,3
8/29/2000,-0.016438702,0.021978905,-0.021978905,0.005449627,0.01111127,-0.005509678,-0.008253175,-0.010989075,0.013908394,0.013642741,0.0027359,0.008163344,0.024897469,-0.002797123,0,49.10812568,-0.363178,0.332913,0.422232713,10.7806478,18.26230386,10.8484456,10.97678303,10.98952032,9.874422573,0.555555352,0.444444648,0.544129283,1
9/5/2000,-0.019526408,-0.016438702,0.021978905,-0.021978905,0,-0.002797123,-0.019418072,-0.022161569,-0.024897469,0.01111127,0.013642741,0.0027359,0.008163344,-0.014104663,-0.002797123,46.68968234,-0.242119,0.302649,0.413691019,11.561183,-28.23687926,10.89838265,10.96683888,10.95618184,9.667413699,0.749999771,0.250000229,0.494680944,3
9/13/2000,0.060127369,-0.019526408,-0.016438702,0.021978905,0.016043101,0.054509354,0.05171223,0.035091282,0.032347785,0,0.01111127,0.013642741,0.0027359,-0.002699068,-0.014104663,54.30609174,0.696092,0.665827,0.431700732,11.561183,109.3117672,10.9725316,11.01555091,10.98709136,9.550034974,0,1,0.493827285,5
9/21/2000,-0.026883359,0.060127369,-0.019526408,-0.016438702,0.019257804,-0.010840258,0.027625995,0.024828871,0.008207923,0.016043101,0,0.01111127,0.013642741,-0.008368191,-0.002699068,50.75638697,0.302648,0.605297,0.444100465,11.52486516,11.4503709,11.0149024,11.02837743,11.02312753,8.984410595,0.322580955,0.677419045,0.547491133,5
9/27/2000,-0.047428702,-0.026883359,0.060127369,-0.019526408,0.020144552,-0.025317817,-0.055415879,-0.016949626,-0.01974675,0.019257804,0.016043101,0,0.01111127,0,-0.008368191,45.33165136,-0.544768,0.696092,0.462099861,11.49000003,-151.4212483,11.03154805,10.98816834,11.00581495,9.076140626,0.818182091,0.181817909,0.609011234,3
10/2/2000,-0.031932984,-0.047428702,-0.026883359,0.060127369,0.014859174,-0.014641512,-0.060103882,-0.090201944,-0.051735691,0.020144552,0.019257804,0.016043101,0,-0.009022555,0,42.18954929,-0.332913,0.575032,0.470166442,11.42526711,-219.1344142,10.9952302,10.91466796,10.91713102,9.715029663,0.826086925,0.173913075,0.535534029,2
