Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
5/12/2000,0.015949365,-0.089152758,0.002945522,-0.031932984,0.003169587,0,-0.067303647,-0.084899383,-0.090696524,0.003159469,0.011764792,0.005797141,0.011494331,-0.009569489,-0.015949365,32.54937544,-0.786886,0.151325,0.445239741,11.10721,-98.38953119,10.07517795,10.13023127,10.14690849,35.10589478,0.910713917,0.089286083,0.385714822,1
5/22/2000,-0.012739077,0.015949365,-0.089152758,0.002945522,0,0.009478678,0.00630909,-0.060994557,-0.078590293,0.003169587,0.003159469,0.011764792,0.005797141,-0.019048167,-0.009569489,31.70556757,-1.089536,0.181589,0.426407545,11.03941668,-90.890411,10.04793955,10.06998975,9.939245586,35.25908327,0.982142783,0.017857217,0.195516875,5
5/25/2000,0.006389824,-0.012739077,0.015949365,-0.089152758,0,0.018692208,0.028170886,0.025001298,-0.042302349,0,0.003169587,0.003159469,0.011764792,-0.031350551,-0.019048167,32.64576809,-1.482979,0.363179,0.421891221,10.97433509,-74.25656495,10.04037335,10.01810712,9.741657871,34.97144474,0.94642835,0.05357165,0.094190071,2
5/31/2000,0.031350551,0.006389824,-0.012739077,0.015949365,0.006153789,0.006153789,0.024845997,0.034324674,0.031155087,0,0,0.003169587,0.003159469,-0.00930243,-0.031350551,37.29409717,-0.423708,0.363178,0.417697419,10.91185677,-45.93041794,10.04945285,9.995768805,9.619619708,34.55908987,0.767856774,0.232143226,0.06349226,2
6/6/2000,0.018349111,0.031350551,0.006389824,-0.012739077,0.01197614,0.03636759,0.03636759,0.055059798,0.064538475,0.006153789,0,0,0.003169587,-0.018237661,-0.00930243,39.9709732,0.06053,0.363178,0.413803175,10.85187758,-19.6358947,10.0948502,9.989859962,9.573880469,33.46542949,0.660714064,0.339285936,0.121031984,3
6/9/2000,-0.030771681,0.018349111,0.031350551,0.006389824,0,0,0.024391449,0.024391449,0.043083657,0.01197614,0.006153789,0,0,-0.036814019,-0.018237661,37.12627864,-0.484238,0.363179,0.410187163,10.79429756,-61.4099628,10.0978767,9.950803848,9.548215592,32.72332772,0.839285641,0.160714359,0.184524047,2
6/19/2000,0.086750882,-0.030771681,0.018349111,0.031350551,0,0.078187351,0.078187351,0.1025788,0.1025788,0,0.01197614,0.006153789,0,-0.031119847,-0.036814019,48.55970734,-0.030265,1.18033,0.465197365,9.412377,93.29198948,10.1266283,9.995048162,9.626650024,30.39188186,0.208333505,0.791666495,0.294312347,5
6/23/2000,0.03380608,0.086750882,-0.030771681,0.018349111,0,0.019310932,0.097498283,0.097498283,0.121889732,0,0,0.01197614,0.006153789,-0.022100345,-0.031119847,52.41572894,0.665827,0.514503,0.468719196,9.412377,135.9179797,10.1538667,10.0711427,9.812329551,28.56949584,0.090908872,0.909091128,0.431698032,3
6/29/2000,0.019204967,0.03380608,0.086750882,-0.030771681,0,0.021622463,0.040933395,0.119120745,0.119120745,0,0,0,0.01197614,-0.02710186,-0.022100345,54.55573843,0.847416,0.393443,0.463342325,9.47895972,155.5004247,10.1886713,10.16481969,10.08528329,27.26799886,0.09523797,0.90476203,0.639850936,3
7/5/2000,-0.047296722,0.019204967,0.03380608,0.086750882,0.01111127,-0.032611538,-0.010989075,0.008321857,0.086509208,0,0,0,0,-0.01974675,-0.02710186,48.81412777,1.210595,0.514503,0.466996659,9.589365977,79.34053915,10.199264,10.20618166,10.3481828,25.33877839,0.365079323,0.634920677,0.768418385,2
7/7/2000,0.011331612,-0.047296722,0.019204967,0.03380608,0.011049881,0.016620948,-0.02710186,-0.005479397,0.013831535,0.01111127,0,0,0,-0.013986206,-0.01974675,50.14369657,1.18033,0.393444,0.461742898,9.693147858,86.59674644,10.2189362,10.25806432,10.57437671,23.65367504,0.301586994,0.698413006,0.810265466,1
7/13/2000,0.016760144,0.011331612,-0.047296722,0.019204967,0,0.032789864,0.038360932,-0.005361876,0.016260586,0.011049881,0.01111127,0,0,-0.038360932,-0.013986206,52.15141746,1.482979,0.514503,0.465511476,9.790702827,102.9653488,10.23860835,10.32536764,10.77089664,22.5128264,0.206349023,0.793650977,0.757094912,3
7/19/2000,-0.06287782,0.016760144,0.011331612,-0.047296722,0.008658097,-0.066691365,-0.033901501,-0.028330433,-0.072053241,0,0.011049881,0.01111127,0,-0.020498507,-0.038360932,44.99630217,0.756622,0.696092,0.481981514,9.882404497,14.3929346,10.2022905,10.32738532,10.85875653,21.43188774,0.555555264,0.444444736,0.700176566,3
7/21/2000,0.040467921,-0.06287782,0.016760144,0.011331612,0.013793377,0.056352976,-0.018996487,0.013793377,0.019364445,0.008658097,0,0.011049881,0.01111127,-0.019635961,-0.020498507,49.72351715,0.877681,0.786887,0.503760477,9.968604067,76.57414647,10.22498915,10.37321499,10.91097461,20.24448254,0.338709523,0.661290477,0.662542174,1
7/25/2000,0.002828868,0.040467921,-0.06287782,0.016760144,0.016901786,-0.005571068,0.036988531,-0.038360932,-0.005571068,0.013793377,0.008658097,0,0.011049881,0,-0.019635961,50.05371584,0.726357,0.181589,0.480748229,10.04963166,60.60604316,10.2643335,10.41976526,10.9339825,19.08844788,0.322580422,0.677419578,0.624338856,1
8/3/2000,-0.061154478,0.002828868,0.040467921,-0.06287782,0.011764792,-0.02882046,-0.051293314,-0.008733715,-0.084083178,0.016901786,0.013793377,0.008658097,0,-0.014903466,0,43.5806922,0.393443,0.635563,0.491806427,10.078204,-20.58872138,10.25979375,10.40203864,10.86667522,18.38234311,0.68333359,0.31666641,0.593101939,6
8/9/2000,0.029587979,-0.061154478,0.002828868,0.040467921,0.002861244,0.034887208,-0.005698044,-0.028170898,0.014388701,0.011764792,0.016901786,0.013793377,0.008658097,-0.01734145,-0.014903466,47.08963999,-0.181589,0.514503,0.49342761,10.078204,20.75109366,10.24920105,10.41356809,10.77193826,17.30050363,0.574074085,0.425925915,0.539838129,3
8/15/2000,0.037200339,0.029587979,-0.061154478,0.002828868,0.008298836,0.039330978,0.071356942,0.03077169,0.008298836,0.002861244,0.011764792,0.016901786,0.013793377,-0.019635961,-0.01734145,51.32763076,-0.151324,0.605298,0.501418353,10.1526556,66.69460127,10.2749262,10.46357723,10.7008132,16.47709191,0.333332925,0.666667075,0.498294196,3
8/18/2000,0.005602186,0.037200339,0.029587979,-0.061154478,0,0.016529278,0.04756142,0.079587383,0.039002132,0.008298836,0.002861244,0.011764792,0.016901786,-0.027702531,-0.019635961,51.96507422,-0.302649,0.302648,0.48722047,10.2226401,70.42815967,10.30216455,10.51690102,10.66669903,15.85536762,0.296296342,0.703703658,0.513951994,2
8/23/2000,-0.008415138,0.005602186,0.037200339,0.029587979,0.01111127,-0.010989075,0.005540203,0.036572345,0.068598308,0,0.008298836,0.002861244,0.011764792,-0.014064893,-0.027702531,50.88846797,0.12106,0.272384,0.471875008,10.28842554,52.08335455,10.3687473,10.55898363,10.6644246,15.10600238,0.463414084,0.536585916,0.568056966,2
8/28/2000,-0.002820888,-0.008415138,0.005602186,0.037200339,0,0.01111127,-0.010989075,0.005540203,0.036572345,0.01111127,0,0.008298836,0.002861244,-0.022347296,-0.014064893,50.51279071,-0.030265,0.242119,0.455463865,10.35026385,47.26958941,10.42625055,10.59184265,10.67240486,14.41016324,0.487804426,0.512195574,0.606193161,2
9/1/2000,-0.011363805,-0.002820888,-0.008415138,0.005602186,0,-0.025176164,-0.014064893,-0.036165239,-0.019635961,0,0.01111127,0,0.008298836,-0.017143251,-0.022347296,48.95594473,-0.332914,0.211854,0.43806316,10.40839185,8.375897603,10.4837538,10.60769565,10.66842979,13.42692399,0.585365795,0.414634205,0.569206388,3
9/6/2000,0.008534937,-0.011363805,-0.002820888,-0.008415138,0.008510724,0.002828868,-0.022347296,-0.011236026,-0.033336371,0,0,0.01111127,0,-0.014347411,-0.017143251,50.1957588,0.423708,0.242119,0.424067149,10.46303218,5.564852374,10.5427703,10.62671929,10.67114706,12.51391612,0.487179444,0.512820556,0.517283464,1
9/18/2000,0.016854307,0.008534937,-0.011363805,-0.002820888,0.002781654,0.025317817,0.019635961,-0.005540203,0.005571068,0.008510724,0,0,0.01111127,-0.025389244,-0.014347411,52.67172306,0.181589,0.302649,0.415394424,10.471648,36.00735206,10.5957338,10.6574165,10.69622888,11.95970738,0.333333616,0.666666384,0.499687464,7
9/26/2000,-0.042680716,0.016854307,0.008534937,-0.011363805,0.020261172,-0.028250488,-0.005714324,-0.011396181,-0.036572345,0.002781654,0.008510724,0,0,0,-0.025389244,46.45406369,-0.302649,0.514503,0.422473608,11.319064,-66.69631322,10.6169192,10.63983404,10.68943302,11.30101253,0.717948609,0.282051391,0.499478868,5
9/29/2000,-0.047628044,-0.042680716,0.016854307,0.008534937,0.02674742,-0.002928272,-0.051439931,-0.028903768,-0.034585624,0.020261172,0.002781654,0.008510724,0,-0.018237661,0,40.90702919,-0.151324,0.544768,0.431208921,11.319064,-200.6931458,10.62902515,10.57411602,10.61082294,11.61679579,0.949999793,0.050000207,0.450486384,2
10/3/2000,0.030032309,-0.047628044,-0.042680716,0.016854307,0.005865046,0.029675691,0,-0.048511659,-0.025975496,0.02674742,0.020261172,0.002781654,0.008510724,-0.011834505,-0.018237661,45.30310233,-0.151324,0.423708,0.430673141,11.26095544,-115.1669308,10.6123795,10.53606877,10.51149783,11.83641347,0.699999587,0.300000413,0.343589814,1
10/6/2000,-0.045393554,0.030032309,-0.047628044,-0.042680716,0.006042339,-0.023810645,0,-0.029675691,-0.078187351,0.005865046,0.02674742,0.020261172,0.002781654,-0.027651541,-0.011834505,40.44297503,-0.998741,0.514503,0.436660988,11.20517122,-186.4930682,10.55487625,10.45637129,10.3556377,12.80667265,0.95555536,0.04444464,0.225023917,2
10/19/2000,-0.063919563,-0.045393554,0.030032309,-0.047628044,0.003294909,-0.08206497,-0.111917953,-0.088107308,-0.117782999,0.006042339,0.005865046,0.02674742,0.020261172,-0.003305801,-0.027651541,35.04458216,-1.664568,0.635563,0.450868275,11.11576251,-266.5056015,10.4565154,10.32450289,10.11763395,14.48769129,0.984374935,0.015625065,0.154063043,8
