Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,trough
2/10/2000,-0.019418072,-0.045645512,0.015873413,-0.007968202,0,-0.030263689,-0.070109583,-0.059638328,-0.043722808,0,0.005194838,0.010471255,0.010638441,-0.011236026,-0.013642741,32.17251715,-1.150065,0.302649,0.338156357,11.57230842,-126.7867474,11.9773256,11.59346608,11.00301143,37.33854469,0.948275656,0.051724344,0.130125421,0
2/11/2000,-0.016949626,-0.019418072,-0.045645512,0.015873413,0.017094408,-0.011236026,-0.041499715,-0.081345609,-0.070874353,0,0,0.005194838,0.010471255,0,-0.011236026,30.27480423,-0.938211,0.272384,0.333458331,11.3834293,-131.2386378,11.84869985,11.46448002,10.90153504,38.64850868,0.953125323,0.046874677,0.081379304,0
2/14/2000,-0.011461395,-0.016949626,-0.019418072,-0.045645512,0.028903768,0.008583684,-0.01974675,-0.050010439,-0.089856333,0.017094408,0,0,0.005194838,0,0,29.0448079,-0.968476,0.302649,0.331257665,11.17912899,-137.0752997,11.71402115,11.3362146,10.77251759,40.0995602,0.909090545,0.090909455,0.062634759,1
2/15/2000,0.022793007,-0.011461395,-0.016949626,-0.019418072,0.014025439,0.051439931,0.031119847,0.002789413,-0.027474276,0.028903768,0.017094408,0,0,-0.008510724,0,34.75421979,-0.756622,0.363178,0.333537689,10.95583943,-101.7058206,11.60355435,11.24383469,10.66887417,40.49773744,0.762711494,0.237288506,0.073686682,0
2/16/2000,-0.008486648,0.022793007,-0.011461395,-0.016949626,0.011428647,-0.00566576,0.031748732,0.011428647,-0.016901786,0.014025439,0.028903768,0.017094408,0,-0.008658097,-0.008510724,33.66040381,-0.786887,0.302649,0.331331354,10.865091,-113.3919929,11.502167,11.15332827,10.58458058,41.11291582,0.79999988,0.20000012,0.121419911,0
2/17/2000,-0.005698044,-0.008486648,0.022793007,-0.011461395,0.008608314,0.005730603,-0.011363805,0.026050687,0.005730603,0.011428647,0.014025439,0.028903768,0.017094408,-0.008683157,-0.008658097,32.91662226,-0.726357,0.242119,0.324959043,10.72345132,-113.3274107,11.38110745,11.06671303,10.51557136,41.72495716,0.8,0.2,0.171173261,0
2/18/2000,-0.037850185,-0.005698044,-0.008486648,0.022793007,0.005865046,-0.014514101,-0.017391813,-0.03448622,0.002928272,0.008608314,0.011428647,0.014025439,0.028903768,-0.017804696,-0.008683157,28.50724582,-1.24086,0.484238,0.336336111,10.61863796,-136.2511579,11.2615612,10.95415651,10.41835162,42.68091686,0.942307472,0.057692528,0.180353262,1
2/22/2000,0.026355854,-0.037850185,-0.005698044,-0.008486648,0.026278893,0.020379147,0,-0.002877711,-0.019972119,0.005865046,0.008608314,0.011428647,0.014025439,0,-0.017804696,34.99905897,-0.877681,0.302649,0.333929889,10.501913,-100.1915245,11.17379305,10.87892669,10.33645954,42.96049879,0.769230525,0.230769475,0.175938142,0
2/23/2000,-0.047346115,0.026355854,-0.037850185,-0.005698044,0.006005949,-0.011904951,-0.017804696,-0.038183844,-0.041061555,0.026278893,0.005865046,0.008608314,0.011428647,-0.012121409,0,29.81570342,-1.543509,0.544768,0.348989754,10.501913,-135.4015186,11.061813,10.76593782,10.22618402,43.62338894,0.965517104,0.034482896,0.141011061,1
2/24/2000,0.009049772,-0.047346115,0.026355854,-0.037850185,0.041548974,0.035506635,0.017595736,0.01169599,-0.008683157,0.006005949,0.026278893,0.005865046,0.008608314,0,-0.012121409,31.8535926,-0.938212,0.423708,0.354326772,10.411118,-105.100367,10.9619389,10.67226078,10.12421491,43.12742157,0.913793329,0.086206671,0.129207327,0
2/25/2000,0.011940489,0.009049772,-0.047346115,0.026355854,0.02674742,0.032789758,0.02674742,0.00883652,0.002936774,0.041548974,0.006005949,0.026278893,0.005865046,0,0,34.58113687,-0.605298,0.272383,0.348473645,10.411118,-93.27845328,10.87417075,10.59962507,10.05543629,42.66688043,0.844827537,0.155172463,0.105585108,0
2/28/2000,-0.054891847,0.011940489,0.009049772,-0.047346115,0.006269638,-0.036814019,-0.030771681,-0.036814019,-0.054724919,0.02674742,0.041548974,0.006005949,0.026278893,-0.012658343,0,28.96326355,-0.968476,0.696092,0.373303528,10.320323,-156.5775342,10.7788364,10.48346557,9.954086909,43.03460381,0.930555728,0.069444272,0.104238275,1
2/29/2000,0.003129906,-0.054891847,0.011940489,0.009049772,0.003129906,0.006269638,-0.036814019,-0.030771681,-0.036814019,0.006269638,0.02674742,0.041548974,0.006005949,-0.01261841,-0.012658343,29.64706289,-0.817152,0.151324,0.357447847,10.05883468,-138.3496523,10.689555,10.37926791,9.845075678,43.37606122,0.890909233,0.109090767,0.102265882,0
