Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/13/2000,0.0263462,-0.01873333,0.045792478,-0.005698021,0.004333701,0.041948755,0.024071184,0.054427647,0.060151761,0.013438052,0.016474837,0.002280503,0.012550079,-0.005443672,-0.001128032,52.61092596,5.5,1.625,2.304942111,50.21476322,164.5845727,53.35,54.27232143,56.21289502,10.36302545,0.015384615,0.984615385,0.927679337,2
6/19/2000,-0.004343112,0.0263462,-0.01873333,0.045792478,0.003252035,0.003252035,0.040867089,0.022989518,0.053345981,0.004333701,0.013438052,0.016474837,0.002280503,-0.009820046,-0.005443672,51.93750514,7.6875,0.75,2.193874817,50.9745369,143.9612932,53.825,54.66160714,56.95906385,10.33081869,0.046153846,0.953846154,0.924003428,3
6/22/2000,0.008667443,-0.004343112,0.0263462,-0.01873333,0.005282632,0.029948762,0.029948762,0.067563816,0.049686245,0.003252035,0.004333701,0.013438052,0.016474837,-0.021414095,-0.009820046,53.22700256,5.6875,1.875,2.171098045,51.65833321,150.6123261,54.071875,55.05327381,57.61429383,10.80937373,0.142857143,0.857142857,0.932608674,2
6/29/2000,-0.018508966,0.008667443,-0.004343112,0.0263462,0.00881063,-0.034486176,-0.009820046,-0.009820046,0.027795008,0.005282632,0.003252035,0.004333701,0.013438052,0,-0.021414095,50.14799096,3.875,1.4375,2.118698184,52.57683323,86.48648649,54.246875,55.3202381,58.03568723,10.72094716,0.253246753,0.746753247,0.904148516,4
7/3/2000,0.024960601,-0.018508966,0.008667443,-0.004343112,0.015102768,0.032647078,-0.010649728,0.014016402,0.014016402,0.00881063,0.005282632,0.003252035,0.004333701,-0.002176279,0,54.02308906,3.1875,1.5,2.074505457,53.38511324,112.1081308,54.475,55.70744048,58.37845509,11.09229289,0.103896104,0.896103896,0.872594073,1
7/11/2000,-0.017297729,0.024960601,-0.018508966,0.008667443,0.019824438,-0.003266198,0.014278112,-0.029018694,-0.004352564,0.015102768,0.00881063,0.005282632,0.003252035,0,-0.002176279,51.05022839,2.625,2.125,2.07811221,54.09639965,71.93767611,54.753125,55.97767857,58.55095779,10.92961728,0.27826087,0.72173913,0.824704281,4
7/19/2000,-0.06533855,-0.017297729,0.024960601,-0.018508966,0.009313222,-0.040868343,-0.063958979,-0.046414669,-0.089711475,0.019824438,0.015102768,0.00881063,0.005282632,-0.003514942,0,42.02264993,-1.3125,4.0625,2.219854195,59.3125,-40.06163328,54.8625,55.87619048,58.20339015,10.61025833,0.796460177,0.203539823,0.742886569,5
7/28/2000,-0.001164822,-0.06533855,-0.017297729,0.024960601,0.003498546,0.004667453,-0.045514112,-0.068604748,-0.051060438,0.009313222,0.019824438,0.015102768,0.00881063,-0.003510829,-0.003514942,41.88512227,-1.0625,0.375,2.088078895,59.3125,-42.33867414,54.88125,55.75833333,57.51343885,10.31371074,0.93814433,0.06185567,0.574790416,6
8/2/2000,0.008125407,-0.001164822,-0.06533855,-0.017297729,0.030483017,0.011614532,0.01278344,-0.037398126,-0.060488761,0.003498546,0.009313222,0.019824438,0.015102768,-0.002383791,-0.003510829,43.28436213,-3.1875,1.75,2.063930403,59.07,-45.72335208,54.95,55.68035714,56.65439665,10.36832741,0.756756757,0.243243243,0.368572912,2
8/7/2000,0.020595694,0.008125407,-0.001164822,-0.06533855,0.00795007,0.051055171,0.032186686,0.033355594,-0.016825972,0.030483017,0.003498546,0.009313222,0.019824438,-0.001140901,-0.002383791,46.82951227,-1,1.1875,2.001328231,58.6683,2.085022588,55.1125,55.70297619,55.91655303,9.943036835,0.594594595,0.405405405,0.245141964,2
8/17/2000,0.022397353,0.020595694,0.008125407,-0.001164822,0.009972382,0.033635458,0.076740558,0.057872074,0.059040981,0.00795007,0.030483017,0.003498546,0.009313222,-0.006703936,-0.001140901,50.52965855,-1.25,1.5,1.965519072,58.290702,41.48183671,55.325,55.82916667,55.49667208,9.486280009,0.414414414,0.585585586,0.272597477,7
8/23/2000,0.014293811,0.022397353,0.020595694,0.008125407,0.003266198,0.024203602,0.047866678,0.090971778,0.072103294,0.009972382,0.00795007,0.030483017,0.003498546,-0.004371592,-0.006703936,52.8275763,-0.1875,1.0625,1.901017709,57.93575988,71.59190853,55.7,56.0125,55.4071645,9.367764714,0.297297297,0.702702703,0.40427025,3
8/29/2000,-0.004376375,0.014293811,0.022397353,0.020595694,0.017699577,-0.005467482,0.015469922,0.039132998,0.082238098,0.003266198,0.009972382,0.00795007,0.030483017,-0.002234638,-0.004371592,52.02678766,-0.9375,1.375,1.863445016,57.60211429,38.45969405,55.9375,56.13630952,55.51286797,8.755050254,0.333333333,0.666666667,0.542542543,3
9/6/2000,0.005467482,-0.004376375,0.014293811,0.022397353,0.004366819,0.024256978,0.001089918,0.022027322,0.045690398,0.017699577,0.003266198,0.009972382,0.00795007,-0.004385972,-0.002234638,52.98613932,0.4375,0.5,1.766056086,57.375,58.91183931,56.153125,56.2672619,55.76292208,8.33997163,0.288288288,0.711711712,0.636636637,4
9/11/2000,-0.006564575,0.005467482,-0.004376375,0.014293811,0.02988601,0.003276901,0.023167059,0,0.020937404,0.004366819,0.017699577,0.003266198,0.009972382,0,-0.004385972,51.65130831,-1.375,1.6875,1.760444937,57.375,27.4566474,56.24375,56.34196429,56.04020563,8.06567697,0.342342342,0.657657658,0.674674675,2
9/18/2000,-0.017719179,-0.006564575,0.005467482,-0.004376375,0.016901811,0.005602256,-0.021006853,-0.001116695,-0.024283754,0.02988601,0.004366819,0.017699577,0.003266198,0,0,48.16662254,-1.375,1.9375,1.773091727,57.3125,-27.19268918,56.30625,56.31279762,56.23043561,8.066618824,0.486486486,0.513513514,0.666666667,4
9/27/2000,-0.048064171,-0.017719179,-0.006564575,0.005467482,0.007034027,-0.027651531,-0.038951087,-0.065560195,-0.045670037,0.016901811,0.02988601,0.004366819,0.017699577,-0.01064469,0,40.45167772,-0.375,3.375,1.887513747,57.01625,-144.8467967,56.221875,56.02767857,56.09315206,8.960412743,0.84375,0.15625,0.582926677,6
10/2/2000,0.009334957,-0.048064171,-0.017719179,-0.006564575,0.00464038,0.016336419,-0.018349139,-0.029648694,-0.056257803,0.007034027,0.016901811,0.02988601,0.004366819,-0.004662013,-0.01064469,42.34594757,0.1875,0.6875,1.801798479,56.737775,-107.4173904,56.178125,55.79821429,55.76565476,9.539160492,0.760416667,0.239583333,0.457738989,2
10/12/2000,0.052047946,0.009334957,-0.048064171,-0.017719179,0.019824438,0.064175083,0.075871123,0.041185565,0.02988601,0.00464038,0.007034027,0.016901811,0.02988601,-0.004459316,-0.004662013,51.83378741,2.625,3.5,1.923098588,52.375,31.51790217,56.15,55.84672619,55.63366613,9.079279696,0.158536585,0.841463415,0.386007196,7
10/16/2000,-0.033635458,0.052047946,0.009334957,-0.048064171,0.009132484,-0.021361127,0.022989518,0.034685558,0,0.019824438,0.00464038,0.007034027,0.016901811,-0.006904515,-0.004459316,46.46349995,-0.375,2.5625,1.968770117,52.375,-58.96406728,56.08125,55.71934524,55.45242424,8.887863406,0.524390244,0.475609756,0.411477789,1
10/20/2000,-0.005717568,-0.033635458,0.052047946,0.009334957,0.016166634,0.001146132,-0.029347479,0.015003167,0.026699206,0.009132484,0.019824438,0.00464038,0.007034027,-0.004667453,-0.006904515,45.61524187,-1.9375,1.375,1.926357966,52.5725,-71.98306281,55.921875,55.56875,55.22616613,8.952645075,0.585365854,0.414634146,0.502851174,3
10/26/2000,-0.046956983,-0.005717568,-0.033635458,0.052047946,0.006006024,-0.028337197,-0.043357699,-0.07385131,-0.029500664,0.016166634,0.009132484,0.019824438,0.00464038,-0.003621006,-0.004667453,39.41569505,-5.25,2.8125,1.989653826,57.3125,-147.274189,55.65,55.1952381,54.68637446,9.595558762,0.946236559,0.053763441,0.470263463,3
10/30/2000,-0.019418086,-0.046956983,-0.005717568,-0.033635458,0.025975486,-0.013341617,-0.047684838,-0.06270534,-0.093198951,0.006006024,0.016166634,0.009132484,0.019824438,-0.001253919,-0.003621006,37.2357064,-6,2.1875,2.003785695,57.3125,-174.3810108,55.303125,54.75238095,53.84501894,10.74635308,0.845528455,0.154471545,0.36650931,1
11/1/2000,0.017011346,-0.019418086,-0.046956983,-0.005717568,0.021819047,0.044124805,0.004807702,-0.02953552,-0.044556022,0.025975486,0.006006024,0.016166634,0.009132484,0,-0.001253919,40.34474754,-5.4375,1.125,1.941015288,57.0125,-119.1730057,55.053125,54.42589286,53.00982413,11.38018401,0.731707317,0.268292683,0.227044905,1
11/10/2000,-0.023157647,0.017011346,-0.019418086,-0.046956983,0.001226242,0,0.022305758,-0.017011346,-0.051354567,0.021819047,0.025975486,0.006006024,0.016166634,-0.009864445,0,37.62107277,-6.25,1.4375,1.905049911,56.7245,-139.1705069,54.671875,54.01011905,52.16045725,12.14292184,0.886178862,0.113821138,0.181775796,6
11/15/2000,0.017115332,-0.023157647,0.017011346,-0.019418086,0.003625382,0.017032042,0.0158058,0.038111558,-0.001205546,0.001226242,0.021819047,0.025975486,0.006006024,-0.004854378,-0.009864445,40.79284198,-4.375,1.125,1.84933206,56.44802,-97.28397913,54.384375,53.7139881,51.5116342,12.45828114,0.768595041,0.231404959,0.180736868,2
11/21/2000,0,0.017115332,-0.023157647,0.017011346,0.01339034,0.001209922,0.014616582,0.01339034,0.035696098,0.003625382,0.001226242,0.021819047,0.025975486,0,-0.004854378,40.79284198,-1.75,0.6875,1.766344056,56.1825992,-93.87161302,54.278125,53.4452381,51.05627706,12.88169217,0.768595041,0.231404959,0.191859467,3
11/27/2000,-0.019584469,0,0.017115332,-0.023157647,0.001236859,-0.008615438,-0.020795856,-0.007389196,-0.008615438,0.01339034,0.003625382,0.001226242,0.021819047,-0.006207345,0,38.21720911,-3.25,1.375,1.738390909,55.92779523,-113.4207871,54.125,53.09136905,50.62516234,13.55837199,0.9,0.1,0.194773306,2
12/4/2000,-0.062480484,-0.019584469,0,0.017115332,0.021249139,-0.059928701,-0.069780997,-0.081961416,-0.068554755,0.001236859,0.01339034,0.003625382,0.001226242,0,-0.006207345,31.63052071,-9.1875,4,1.899934415,55.68318342,-178.9594303,53.796875,52.46041667,49.91115801,15.23720267,0.912790698,0.087209302,0.173117248,4
