dates,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
3/23/2000,0.001214329,-0.006056954,0.028170877,-0.066090112,0.003642991,0.003642991,-0.007246409,0,-0.053109825,0.012092046,0,0.001211387,0,-0.022141126,-0.008552282,46.14992391,3.5625,1.3125,2.778796441,46.01442307,30.10154116,50.040625,50.56636905,52.88329004,14.24847807,0.279569892,0.720430108,0.72520908,0
3/28/2000,-0.062598656,0.001214329,-0.006056954,0.028170877,0.010165272,-0.038442427,-0.038442427,-0.049331827,-0.042085419,0.003642991,0.012092046,0,0.001211387,-0.019342963,-0.022141126,41.24064946,1.1875,3.5,2.830310981,46.36384614,-26.85521886,49.771875,50.4077381,52.55671537,14.06377975,0.548387097,0.451612903,0.682198327,2
3/31/2000,0.096014653,-0.062598656,0.001214329,-0.006056954,0,0.11905936,0.070451661,0.070451661,0.059562261,0.010165272,0.003642991,0.012092046,0,-0.041672696,-0.019342963,50.14956003,0.25,6.75,3.110288768,46.6992923,106.7693555,49.709375,50.7389881,52.35267316,13.87257581,0.15625,0.84375,0.675589904,2
4/3/2000,-0.011806513,0.096014653,-0.062598656,0.001214329,0.008240188,-0.033432509,0.085626852,0.037019152,0.037019152,0,0.010165272,0.003642991,0.012092046,-0.011890747,-0.041672696,49.12128936,-0.25,1.0625,2.964018142,47.20483476,73.20628111,50.046875,51.01666667,52.22095238,13.50530475,0.298507463,0.701492537,0.655527247,0
4/4/2000,0.001186944,-0.011806513,0.096014653,-0.062598656,0,0.007067167,-0.034605529,0.084453831,0.035846132,0.008240188,0,0.010165272,0.003642991,-0.029781832,-0.011890747,49.23338873,-0.6875,1.5625,2.863909703,47.68004467,62.72855134,50.275,51.26815476,52.20643939,12.98882045,0.291044776,0.708955224,0.696316246,0
4/5/2000,-0.022796428,0.001186944,-0.011806513,0.096014653,0.011976191,-0.014184635,-0.007117468,-0.048790164,0.070269196,0,0.008240188,0,0.010165272,-0.007255171,-0.029781832,47.10958374,0.375,1.1875,2.744166153,48.12674199,39.45682808,50.51875,51.38482143,52.18793831,12.44816488,0.50877193,0.49122807,0.683636559,0
4/6/2000,0.008459265,-0.022796428,0.001186944,-0.011806513,0.022906366,0.010785006,-0.01537582,-0.008308653,-0.04998135,0.011976191,0,0.008240188,0,-0.006116227,-0.007255171,47.99958544,-1.8125,1.5,2.655297142,48.54663747,33.56171185,50.74375,51.51994048,52.13196158,11.75539103,0.447368421,0.552631579,0.656520941,0
4/10/2000,-0.015767458,0.008459265,-0.022796428,0.001186944,0.007290433,0.007290433,-0.004830927,-0.030991753,-0.023924586,0.022906366,0.011976191,0,0.008240188,-0.007343974,-0.006116227,46.43677642,0.8125,1.0625,2.541525917,48.94133923,10.19413837,50.93125,51.55625,52.01319264,11.08992319,0.561403509,0.438596491,0.570771872,1
4/11/2000,0.020569388,-0.015767458,0.008459265,-0.022796428,0.009523882,0.028848154,0.028848154,0.016726794,-0.009434032,0.007290433,0.022906366,0.011976191,0,-0.010823918,-0.007343974,48.78508483,0.4375,1.625,2.476059781,49.31235887,43.00559552,51.078125,51.67589286,51.96279762,10.85760204,0.412280702,0.587719298,0.534913154,0
4/17/2000,-0.094113292,0.020569388,-0.015767458,0.008459265,0.00249688,-0.041520005,-0.022195732,-0.022195732,-0.034317093,0.009523882,0.007290433,0.022906366,0.011976191,-0.062207906,-0.010823918,40.37503828,-3.9375,5.203125,2.670850153,55.125,-145.1393445,51.271875,51.33511905,51.47698593,11.0584735,0.936660269,0.063339731,0.461228781,3
