Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
3/10/2000,-0.006042339,0.043083657,0,0.058268931,0,0.012048288,0.055398697,0.06174795,0.07456869,0.006042339,0.015698869,0.015798076,0,-0.012048288,-0.00913252,38.86979559,0,0.121059,0.451618546,9.079463,-29.9613348,10.31881025,9.971412676,9.366608931,39.86407385,0.49152511,0.50847489,0.293303706,0
3/16/2000,0.084229689,-0.006042339,0.043083657,0,0.022347296,0.080503259,0.092551546,0.135901955,0.142251208,0,0.006042339,0.015698869,0.015798076,0,-0.012048288,48.64625487,0.665827,0.968476,0.488536935,9.12062324,63.83100011,10.2870321,10.02343941,9.581561643,37.01899318,0.048387277,0.951612723,0.46928773,3
3/17/2000,-0.045591938,0.084229689,-0.006042339,0.043083657,0,-0.00566576,0.052490202,0.06453849,0.107888899,0.022347296,0,0.006042339,0.015698869,-0.02882046,0,44.42483611,0.726357,0.514503,0.490391654,9.230739006,28.1011166,10.24012155,10.03237474,9.811198693,34.93613664,0.30645169,0.69354831,0.601805271,0
3/20/2000,0.023055774,-0.045591938,0.084229689,-0.006042339,0.01426554,0.002836893,-0.002828868,0.055327095,0.067375383,0,0.022347296,0,0.006042339,-0.014472091,-0.02882046,46.90574734,0.938211,0.302649,0.476981465,9.334247825,49.27179993,10.19926395,10.06883669,10.05152014,32.94789166,0.177419484,0.822580516,0.735982046,0
3/21/2000,-0.017241781,0.023055774,-0.045591938,0.084229689,0.008583684,0.008583684,-0.002844964,-0.008510724,0.049645239,0.01426554,0,0.022347296,0,-0.008658097,-0.014472091,45.27337694,0.817152,0.181589,0.455882003,9.431546116,52.37019974,10.15386665,10.09189564,10.25878344,31.10166417,0.274193505,0.725806495,0.76259031,0
3/22/2000,0.008658097,-0.017241781,0.023055774,-0.045591938,0.008658097,0,0,-0.011428647,-0.017094408,0.008583684,0.01426554,0,0.022347296,-0.008733715,-0.008658097,46.28004291,0.726357,0.18159,0.436289717,9.523006509,63.92109807,10.1039296,10.1279253,10.42725536,29.54574877,0.225806228,0.774193772,0.781361961,0
3/23/2000,-0.011560869,0.008658097,-0.017241781,0.023055774,0.017595736,-0.002902771,-0.011560869,-0.011560869,-0.022989516,0.008658097,0.008583684,0.01426554,0,-0.002962977,-0.008733715,45.08912463,1.331655,0.332914,0.428905737,9.608979278,43.59982374,10.09938985,10.15718133,10.55342326,28.36714824,0.290322598,0.709677402,0.752688197,0
3/24/2000,0.002902771,-0.011560869,0.008658097,-0.017241781,0.026433266,0.020498507,0,-0.008658097,-0.008658097,0.017595736,0.008658097,0.008583684,0.01426554,0,-0.002962977,45.46693408,0.817152,0.272384,0.417725613,9.689793682,51.38122032,10.0842574,10.18975211,10.63359116,27.27273345,0.274193505,0.725806495,0.749104013,0
3/27/2000,-0.008733715,0.002902771,-0.011560869,0.008658097,0.014641512,0.023530495,0.017595736,-0.002902771,-0.011560869,0.026433266,0.017595736,0.008658097,0.008583684,-0.002954224,0,44.47822653,0.726357,0.211854,0.403020498,9.765759221,45.98638281,10.0918236,10.21511693,10.66562999,26.25649116,0.322580783,0.677419217,0.725806495,0
3/30/2000,0.03448622,-0.008733715,0.002902771,-0.011560869,0.011363805,0.043296788,0.052185772,0.046251012,0.025752505,0.014641512,0.026433266,0.017595736,0.008658097,-0.005730603,-0.002954224,49.23367404,0.665827,0.363179,0.400174677,9.837166827,98.42109407,10.10392955,10.27434963,10.69521226,24.56111989,0.129032206,0.870967794,0.732974921,2
