Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,d_return
2/10/2000,0.047881486,-0.047881486,-0.007762005,-0.01534557,0.074701385,0.026043139,-0.010230268,0.002574004,-0.024128155,0,0.003809528,0.00770222,0.009987599,0,-0.037638851,30.14415491,-6,3.5,2.127544997,51.19201947,-141.4988178,53.16875,51.5875,48.15274892,23.83375703,0.773584906,0.226415094,0.067679376,0.049046322
2/11/2000,-0.031664915,0.047881486,-0.047881486,-0.007762005,0.027983172,0.052608219,0.003949972,-0.032323435,-0.019519162,0.074701385,0,0.003809528,0.00770222,0,0,27.30107758,-7.3125,1.875,2.109506069,49.85727519,-127.9695732,52.63125,50.96428571,47.16444264,24.80391867,0.865168539,0.134831461,0.090513745,-0.031168831
2/14/2000,0.017276177,-0.031664915,0.047881486,-0.047881486,0.028020512,0.026668247,0.051293294,0.002635048,-0.033638359,0.027983172,0.074701385,0,0.003809528,-0.010884461,0,31.09222424,-6.3125,1.8125,2.088291349,48.81617464,-108.7902246,52.2375,50.46964286,46.41591721,25.90645662,0.782352941,0.217647059,0.140958677,0.017426273
2/15/2000,-0.001318392,0.017276177,-0.031664915,0.047881486,0.029296369,0.030648635,0.029296369,0.053921417,0.00526317,0.028020512,0.027983172,0.074701385,0,-0.005420067,-0.010884461,30.95848353,-7.125,1.625,2.05519911,48.00411622,-93.587876,51.81875,50.00654762,45.90965368,26.82324664,0.788235294,0.211764706,0.16933236,-0.001317523
2/16/2000,0.038814704,-0.001318392,0.017276177,-0.031664915,0.047353696,0.077961541,0.079313807,0.077961541,0.102586589,0.029296369,0.028020512,0.027983172,0.074701385,-0.001311476,-0.005420067,39.38244181,-4.6875,2.625,2.095899174,45.125,-49.10879142,51.48125,49.76190476,45.80905303,25.89711615,0.5875,0.4125,0.220560956,0.039577836
2/17/2000,-0.007643349,0.038814704,-0.001318392,0.017276177,0.004901971,0.069604305,0.10021215,0.101564416,0.10021215,0.047353696,0.029296369,0.028020512,0.027983172,-0.046520016,-0.001311476,38.37398463,-3.3125,2.5625,2.129227804,45.125,-33.44470963,51.190625,49.51369048,46.01858766,24.35542529,0.625,0.375,0.267268855,-0.007614213
2/18/2000,-0.041781534,-0.007643349,0.038814704,-0.001318392,0.002587324,-0.050388492,0.014313842,0.044921687,0.046273953,0.004901971,0.047353696,0.029296369,0.028020512,-0.038288505,-0.046520016,33.45377739,-2.375,2.4375,2.151247247,45.365,-73.20685829,50.721875,49.10267857,46.22383117,23.91950245,0.825,0.175,0.311519608,-0.040920716
2/22/2000,-0.032523192,-0.041781534,-0.007643349,0.038814704,0.013793322,-0.055940016,-0.108915832,-0.044213497,-0.013605652,0.002587324,0.004901971,0.047353696,0.029296369,-0.019635975,-0.038288505,30.31441378,-3.125,2.75,2.194015301,51.125,-111.4796325,50.190625,48.59345238,46.231296,24.36621302,0.886363636,0.113636364,0.29171123,-0.032
2/23/2000,-0.008298803,-0.032523192,-0.041781534,-0.007643349,0.008344972,0.002773927,-0.066959411,-0.119935227,-0.055232892,0.013793322,0.002587324,0.004901971,0.047353696,-0.015482364,-0.019635975,29.56739049,-3.125,1.3125,2.131049922,51.125,-112.0738628,49.696875,48.09910714,46.03041667,24.80209578,0.887218045,0.112781955,0.225283854,-0.008264463
2/24/2000,-0.031032109,-0.008298803,-0.032523192,-0.041781534,0.002828856,-0.011236073,-0.016807118,-0.086540456,-0.139516272,0.008344972,0.013793322,0.002587324,0.004901971,-0.02292364,-0.015482364,26.94542967,-2.25,1.875,2.112760642,50.8425,-128.0426026,49.1375,47.52083333,45.58070346,25.5242581,0.9375,0.0625,0.150441445,-0.030555556
