Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/21/2000,0.010929071,0.024472857,0.009049836,-0.024692613,0.01852914,0.015234245,0.049816609,0.060084811,0.006500565,0.002190581,0.012408507,0.010268202,0.001086366,0,-0.012134732,49.87480148,-5.3125,1.0625,2.39935417,63.6535,-2.194882458,57.59375,58.13333333,56.51129329,12.07463646,0.69375,0.30625,0.187250116,1
6/23/2000,-0.010929071,0.010929071,0.024472857,0.009049836,0.017738824,0.001099505,-0.002195391,0.032386974,0.042655176,0.01852914,0.002190581,0.012408507,0.010268202,-0.00560854,0,48.50822532,-3,1.9375,2.366364586,63.28486,-31.7992482,57.890625,58.06488095,56.05629329,11.25195855,0.75625,0.24375,0.20625,1
6/27/2000,0.019587133,-0.010929071,0.010929071,0.024472857,0.053770494,0.045909701,0.029270382,0.025975486,0.060557851,0.017738824,0.01852914,0.002190581,0.012408507,-0.00338792,-0.00560854,51.10522729,-0.6875,3.25,2.429481402,62.9309656,-27.1826768,58.35625,58.07529762,55.94333874,10.92541873,0.64375,0.35625,0.261805556,1
6/29/2000,0.009651549,0.019587133,-0.010929071,0.010929071,0.029207052,0.055904967,0.048044174,0.031404855,0.028109959,0.053770494,0.017738824,0.01852914,0.002190581,0,-0.00338792,52.3979772,-0.875,1.6875,2.37648273,62.59122698,-18.25677267,58.7625,58.09494048,56.10448864,10.66171099,0.507462687,0.492537313,0.310281924,1
7/3/2000,0.039754189,0.009651549,0.019587133,-0.010929071,0.016529302,0.068919689,0.095617604,0.087756811,0.071117492,0.029207052,0.053770494,0.017738824,0.01852914,0,0,57.50655273,1.25,2.4375,2.380841107,62.2650779,66.0259089,58.846875,58.30208333,56.70800054,11.13352189,0.00952381,0.99047619,0.426450091,1
7/6/2000,-0.029138378,0.039754189,0.009651549,0.019587133,0.010537505,-0.006269613,0.046120774,0.072818689,0.064957896,0.016529302,0.029207052,0.053770494,0.017738824,-0.001059884,0,52.9936367,1.1875,2,2.35363817,61.95197478,17.95004307,58.85625,58.33452381,57.40904762,11.15677266,0.276190476,0.723809524,0.570958205,1
7/11/2000,0.003162891,-0.029138378,0.039754189,0.009651549,0.013648506,0.015764909,-0.00104221,0.051348178,0.078046093,0.010537505,0.016529302,0.029207052,0.053770494,-0.002116403,-0.001059884,53.41545911,3,0.9375,2.252485444,61.65139579,19.29591987,59.025,58.38392857,58.12479708,11.2760447,0.247619048,0.752380952,0.723639244,2
7/17/2000,-0.05517895,0.003162891,-0.029138378,0.039754189,0.040591818,-0.044307625,-0.042191222,-0.058998341,-0.006607954,0.013648506,0.010537505,0.016529302,0.029207052,-0.001151411,-0.002116403,45.87820712,1.1875,5.125,2.457665055,61.36283996,-101.9331527,58.74375,58.11369048,58.43291396,11.18079479,0.712962963,0.287037037,0.715190801,3
7/24/2000,-0.03509132,-0.05517895,0.003162891,-0.029138378,0.00114482,0.00573725,-0.079162193,-0.07704579,-0.093852909,0.040591818,0.013648506,0.010537505,0.016529302,-0.008050647,-0.001151411,41.99885075,-1.25,2.0625,2.42943898,60.93606956,-133.9416711,58.34375,57.68571429,58.17136905,11.12892906,0.981818182,0.018181818,0.587499332,4
7/27/2000,0.077558234,-0.03509132,-0.05517895,0.003162891,0.019376279,0.071814393,0.076406824,-0.00849262,-0.006376217,0.00114482,0.040591818,0.013648506,0.010537505,-0.003266198,-0.008050647,51.89118777,1.75,4.375,2.568407624,60.391184,9.35453695,58.0875,57.7125,58.01656385,10.88003618,0.345454545,0.654545455,0.420065737,2
8/3/2000,0.015864955,0.077558234,-0.03509132,-0.05517895,0.006302542,0.03733767,0.089775785,0.094368215,0.009468771,0.019376279,0.00114482,0.040591818,0.013648506,-0.002109705,-0.003266198,53.71298235,2.0625,1.0625,2.460842794,59.88988928,71.35658133,57.925,57.85297619,58.06882035,10.9442921,0.209090909,0.790909091,0.386777831,4
8/7/2000,0.001048768,0.015864955,0.077558234,-0.03509132,0.00942909,0.010482276,0.041517405,0.093955519,0.09854795,0.006302542,0.019376279,0.00114482,0.040591818,-0.002107482,-0.002109705,53.83848366,2.75,0.6875,2.334175451,54.125,78.95275107,57.9125,58.01488095,58.31799242,11.07465018,0.2,0.8,0.518761691,1
