Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/20/2000,0.024554805,0.038001118,0,-0.055918731,0.015487035,0.021076765,0.057610508,0.027825947,-0.002192983,0,0.00464038,0,0.004371592,-0.002232144,-0.013544225,52.17942722,-4.625,1.625,2.483206528,62.1584,30.0522059,54.85078125,56.09107143,56.19538826,9.067093695,0.628930818,0.371069182,0.258636424,2
6/22/2000,-0.00331309,0.024554805,0.038001118,0,0.004366819,0.023141529,0.028731258,0.065265001,0.03548044,0.015487035,0,0.00464038,0,-0.011001211,-0.002232144,51.75037992,-0.875,0.875,2.368334633,61.792064,30.68808587,55.26015625,56.24813988,55.74280032,8.713842702,0.647798742,0.352201258,0.249110234,1
6/26/2000,-0.014484933,-0.00331309,0.024554805,0.038001118,0.010977059,0.002185793,0.020960503,0.026550232,0.063083975,0.004366819,0.015487035,0,0.00464038,-0.023451661,-0.011001211,49.83800391,-2.390625,1.9375,2.337560731,61.44038144,6.22010782,55.62890625,56.28883929,55.43759064,8.20400043,0.729559748,0.270440252,0.286512928,1
6/28/2000,0.039609138,-0.014484933,-0.00331309,0.024554805,0,0.029365895,0.020574629,0.039349339,0.044939068,0.010977059,0.004366819,0.015487035,0,-0.009693129,-0.023451661,54.81738059,-0.5625,2.625,2.358092107,61.10276618,56.2915774,56.22578125,56.50870536,55.45272186,7.868822097,0.503144654,0.496855346,0.341020266,1
6/30/2000,-0.002159828,0.039609138,-0.014484933,-0.00331309,0.002129926,0.007474674,0.036840569,0.028049304,0.046824013,0,0.010977059,0.004366819,0.015487035,-0.013956211,-0.009693129,54.49374298,-1.1875,0.9375,2.256621242,60.77865554,54.09544814,56.77578125,56.65982143,55.68820752,7.707332331,0.245098039,0.754901961,0.403933901,1
7/5/2000,0.022184526,-0.002159828,0.039609138,-0.014484933,0.004237294,0.00849262,0.013837368,0.043203263,0.034411998,0.002129926,0,0.010977059,0.004366819,-0.011745997,-0.013956211,57.30980148,1.859375,1.3125,2.189184011,60.46750931,77.80309503,56.9375,56.88206845,56.24473755,7.689943646,0.041666667,0.958333333,0.539087228,1
7/10/2000,-0.003972989,0.022184526,-0.002159828,0.039609138,0.010649728,0.002120892,0.006376217,0.011720965,0.04108686,0.004237294,0.002129926,0,0.010977059,-0.001071237,-0.011745997,56.62778017,2.5625,0.796875,2.089733367,60.16880894,68.47164999,57.096875,57.06659226,56.96965774,7.673797009,0.078431373,0.921568627,0.70745468,2
7/14/2000,-0.064680074,-0.003972989,0.022184526,-0.002159828,0.019155515,-0.041536025,-0.050064862,-0.045809536,-0.040464788,0.010649728,0.004237294,0.002129926,0,-0.010291686,-0.001071237,47.12545252,1.9375,4.5,2.26189527,59.88205658,-97.75171065,57.109375,56.88474702,57.32605722,8.075377135,0.656862745,0.343137255,0.785325975,3
7/21/2000,-0.025230696,-0.064680074,-0.003972989,0.022184526,0.002306806,-0.012593183,-0.073284724,-0.08181356,-0.077558234,0.019155515,0.010649728,0.004237294,0.002129926,-0.006952519,-0.010291686,44.15042682,0.5625,1.4375,2.203009893,59.60677432,-132.1790079,56.9125,56.57075893,57.20815611,8.646246357,0.867346939,0.132653061,0.695022453,4
7/25/2000,0.003478264,-0.025230696,-0.064680074,-0.003972989,0.002229655,0.03628516,0.021385171,-0.03930637,-0.047835206,0.002306806,0.019155515,0.010649728,0.004237294,-0.036367644,-0.006952519,44.66344243,-1.3125,2.3125,2.210830615,59.34250335,-88.49083797,56.7625,56.29337798,56.73815341,8.40027138,0.836734694,0.163265306,0.473272642,1
7/31/2000,0.056257803,0.003478264,-0.025230696,-0.064680074,0.006535971,0.027519623,0.061575128,0.046675139,-0.014016402,0.002229655,0.002306806,0.019155515,0.010649728,-0.007679687,-0.036367644,52.49554706,0.4375,3.5625,2.307378428,59.08880321,19.54644653,56.553125,56.32790179,56.42592668,7.967745054,0.326530612,0.673469388,0.333978036,3
8/4/2000,0.025919378,0.056257803,0.003478264,-0.025230696,0.005232874,0.045923713,0.066907365,0.100962869,0.08606288,0.006535971,0.002229655,0.002306806,0.019155515,-0.017999427,-0.007679687,55.73417338,2.125,2.75,2.338994255,53,97.93542769,56.615625,56.52522321,56.48044778,8.337236802,0.181818182,0.818181818,0.362595543,3
