Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,troughdepth
2/11/2000,-0.052909065,0.008626055,0.007453451,0.036829559,0.030267128,-0.044937737,-0.001241465,0.043153904,0.041857727,0.007100622,0.025720953,0.039420234,0.017972242,-0.016785417,-0.039981097,38.99887715,-3.6875,2.9375,2.150534734,47.4375,-108.2592122,52.15,50.90029762,49.25424513,19.38935049,0.86,0.14,0.366385056,15.4375
2/18/2000,-0.016172859,-0.010638398,-0.02996967,0.001284522,0.00263158,-0.003934431,0.04433231,-0.020806993,-0.013055016,0.007822726,0.037740328,0.010243367,0.011605546,-0.038957243,-0.026526754,34.07085618,-3.3125,1.9375,2.039039478,52.69,-142.2184112,50.0125,49.09315476,47.38240801,20.12952865,0.903225806,0.096774194,0.194826762,17.75
3/7/2000,-0.01457945,-0.019544596,-0.031748698,-0.008711941,0.002574004,0.014239723,-0.006406172,-0.04154153,-0.019096697,0.003903713,0,0,0.028591133,-0.035413537,-0.014445425,40.09847761,0.25,1.8125,1.741792251,50.337232,-49.35696906,48.25,48.02261905,48.73113095,14.80605533,0.72826087,0.27173913,0.559880006,16.9375
3/20/2000,-0.011123585,-0.047525142,0.021322769,0.092512373,0.010989122,0.031079083,-0.03964097,0.03333642,0.076043429,0.038700241,0,0.052817556,0.012888286,-0.012229169,0,61.6502721,8.375,1.3125,2.14273429,50.41222534,121.3975348,50.66875,52.475,56.63441558,24.03995273,0.285714286,0.714285714,0.890541634,7.875
3/28/2000,-0.015590516,-0.020777128,-0.001081666,-0.009682701,0.01355953,-0.020000667,-0.052471052,-0.023295563,-0.062010075,0.014200129,0.015848192,0.017391743,0.005260401,-0.011441772,-0.01106206,55.89767725,2.8125,2.25,2.112167432,59.625,28.7853266,53.696875,55.58422619,59.44845238,30.32116427,0.368421053,0.631578947,0.81605726,8.0625
3/30/2000,-0.019155515,0.005595986,-0.015590516,-0.020777128,0.007851975,0.008978736,0.018038821,-0.015521376,-0.047991761,0.017877571,0.01355953,0.014200129,0.015848192,-0.010186845,-0.01133799,53.01800174,-4.3125,1.0625,2.004879061,59.4125,21.46311971,54.221875,55.8952381,58.03487284,29.75560937,0.63559322,0.36440678,0.646167621,8.8125
4/7/2000,-0.006472515,-0.061509745,0.007103023,0.012295237,0.010834342,-0.006444705,-0.031816045,-0.058594164,-0.013911407,0.010649728,0.042907501,0.021116923,0.030352932,-0.004366819,-0.019460074,54.95294409,0,1,2.260642619,55.292244,12.6984127,57.396875,58.08214286,59.4255303,32.44406272,0.595588235,0.404411765,0.734477124,6
4/14/2000,-0.064744092,-0.014285957,-0.009077218,0.032655963,0.00851069,-0.018888285,-0.047578777,-0.030257916,0.009579637,0.021594669,0.011049836,0.024366688,0.038809275,-0.034786116,0,49.23722118,-0.3125,4.3125,2.315037828,56.5,-37.31097005,58.55,59.18452381,61.23149621,31.77305224,0.683823529,0.316176471,0.779411765,6.75
4/26/2000,-0.038985447,0.04409532,0.007197975,0.008290203,0.005976113,-0.021611843,0.037434821,0.018036561,0.062488324,0.001941748,0.006166515,0.003028776,0.017810843,-0.025292193,-0.018637126,56.70025265,-0.9375,2.75,2.251030228,57.96998807,75.29703331,59.696875,60.32886905,60.84141775,28.00289113,0.393700787,0.606299213,0.713685542,2.4375
5/3/2000,-0.047856021,-0.02664092,-0.016048489,0.020101179,0.004250803,-0.032345021,-0.055684487,-0.044590072,0,0,0.001002506,0.019086466,0.047628049,-0.024799115,-0.0217964,45.03357966,-2.25,2.9375,2.263760573,64.4375,-104.879161,60.371875,60.57113095,61.7694697,22.36987876,0.88976378,0.11023622,0.586176728,6.375
5/10/2000,-0.030469969,0.006545383,0.025270662,0.005402498,0.004228336,-0.023971966,0.017021688,0.038714512,0.029980832,0.003084835,0.03375848,0.024906539,0.011885607,-0.022496932,-0.018711565,46.99775322,-3.234375,2.1875,2.075231427,62.9386756,-71.2330007,60.01875,59.80491071,58.67848417,17.21475229,0.855042017,0.144957983,0.269086041,5.671875
5/15/2000,-0.003200003,0.00426895,0.00616872,-0.030469969,0.01070674,-0.013749556,0.00106553,-0.005310687,-0.033510989,0.005238357,0.005316334,0.004228336,0.003084835,-0.006479504,-0.014815086,48.29432181,-3.3125,1,1.877101975,61.93256893,-67.28704366,59.825,59.42395833,57.9104789,14.8198696,0.747368421,0.252631579,0.218079513,5.25
5/17/2000,-0.007387896,0.015898586,-0.003200003,0.00426895,0.005277057,-0.007341407,0.022353246,-0.00210305,0.012712036,0.002087683,0.01070674,0.005238357,0.005316334,-0.005305052,-0.011560822,49.93548101,1.625,0.6875,1.762973132,61.35841791,-41.00905895,59.88125,59.30014881,58.1442776,12.94124264,0.655913978,0.344086022,0.287527695,4.75
5/25/2000,-0.021599112,-0.003200003,-0.014799424,-0.002096437,0.016313575,-0.002155173,-0.006451635,-0.034979719,-0.030804347,0.011771136,0.010661082,0.007265211,0.006256538,0,0,42.57912612,-1.1875,1.5,1.579659077,60.037375,-121.9972422,59.11875,58.81800595,58.92330087,10.18231158,0.935483871,0.064516129,0.462365591,6.5
5/31/2000,-0.029526475,0.003237995,0.009777373,-0.021599112,0.004371592,-0.022642477,0.003276901,0.005467482,-0.013001267,0.00849262,0.013043663,0.016313575,0.011771136,-0.013230623,-0.017204725,39.75389264,-3.125,1.6875,1.577172374,59.32058415,-172.6536987,58.484375,58.38556548,58.00926677,10.38796425,1,0,0.252718041,7.4375
6/5/2000,-0.055918731,-0.001109262,0.001109262,-0.029526475,0,-0.034390522,-0.037656719,-0.03001893,-0.057032998,0.005437751,0.001086366,0.004371592,0.00849262,-0.039130424,-0.017602215,30.32416706,-6.4375,3.0625,1.64556221,58.50539334,-269.1251471,58.128125,57.4953869,56.24612284,11.90930701,1,0,0.049494949,10.5
