Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/16/2000,-0.001257054,-0.005012542,-0.019802661,0.093718327,0.021451945,0.021451945,0.022728251,0.003752315,0.105221793,0.020202725,0.036367662,0.039317086,0.030056907,-0.00511503,-0.008968635,50.19084076,-2.694042,1.529049,4.348040433,58.322411,-38.74463376,61.85379335,58.67052222,52.54230222,10.98192993,0.560553633,0.439446367,0.393770658,2
6/21/2000,-0.01904816,-0.001257054,-0.005012542,-0.019802661,0.028573372,-0.003833818,-0.003833818,-0.002557511,-0.021533447,0.021451945,0.020202725,0.036367662,0.039317086,-0.00263856,-0.00511503,48.77324017,-1.601864,2.766857,4.235098759,58.322411,-48.17853201,61.25673505,58.18857638,53.55403931,10.40987931,0.546558543,0.453441457,0.426488282,2
6/26/2000,-0.071743959,-0.01904816,-0.001257054,-0.005012542,0.027934739,-0.0444518,-0.076858989,-0.076858989,-0.075582683,0.028573372,0.021451945,0.020202725,0.036367662,-0.009964515,-0.00263856,43.95962164,-0.655308,5.897774,4.353861276,56.9666517,-83.03588889,60.5504587,57.38903123,54.13948567,10.62844573,0.765182216,0.234817784,0.413185113,2
7/3/2000,-0.000688886,-0.071743959,-0.01904816,-0.001257054,0.058903152,0.027245853,-0.045140685,-0.077547875,-0.077547875,0.027934739,0.028573372,0.021451945,0.020202725,-0.013245226,-0.009964515,43.91640593,-2.002327,3.713409,4.308114685,55.8006987,-85.538805,59.59480135,56.65328355,54.36853799,11.11566041,0.675141037,0.324858963,0.384645028,4
7/6/2000,0.117553262,-0.000688886,-0.071743959,-0.01904816,0.084341147,0.176456414,0.144799115,0.072412576,0.040005386,0.058903152,0.027934739,0.028573372,0.021451945,-0.010723963,-0.013245226,52.93580026,9.101502,6.589485,4.471069708,48.638416,-10.40414643,58.8921656,56.63612085,55.04940924,10.39554634,0.086419668,0.913580332,0.401564543,1
7/12/2000,-0.084341147,0.117553262,-0.000688886,-0.071743959,0.001308045,0.019802609,0.111917876,0.080260577,0.007874038,0.084341147,0.058903152,0.027934739,0.028573372,-0.03191764,-0.010723963,46.99951188,4.659969,5.533715,4.546972943,48.638416,-44.01313208,58.03662475,56.22820041,55.46429127,9.69993971,0.493827076,0.506172924,0.470109722,3
7/17/2000,0.00929001,-0.084341147,0.117553262,-0.000688886,0.014560115,-0.003934449,0.014560115,0.106675382,0.075018083,0.001308045,0.084341147,0.058903152,0.027934739,-0.00668897,-0.03191764,47.66979003,1.019367,1.164989,4.305402661,49.06946308,-33.78879169,57.29758285,55.9503012,55.67197092,9.054019265,0.450617369,0.549382631,0.576333909,2
7/19/2000,-0.00662693,0.00929001,-0.084341147,0.117553262,0.026739597,0.010610197,-0.007884367,0.010610197,0.102725464,0.014560115,0.001308045,0.084341147,0.058903152,-0.002713743,-0.00668897,47.21051558,-4.65997,1.601868,4.112293043,49.48326828,-33.22234944,56.61315025,55.70811454,55.60084501,8.497712329,0.481481566,0.518518434,0.587535788,1
7/25/2000,-0.024227277,-0.00662693,0.00929001,-0.084341147,0.017723709,0.002706324,-0.013423076,-0.03191764,-0.013423076,0.026739597,0.014560115,0.001308045,0.084341147,-0.015246273,-0.002713743,45.51059579,-4.805591,2.621231,4.005788611,49.88052127,-54.68103863,56.04885735,55.40629147,55.17757383,8.289446297,0.592592593,0.407407407,0.55761315,3
7/31/2000,-0.061817431,-0.024227277,-0.00662693,0.00929001,0.021819027,-0.045014594,-0.060031979,-0.076161379,-0.094655944,0.017723709,0.026739597,0.014560115,0.001308045,-0.010347489,-0.015246273,41.57022371,-7.718071,4.441532,4.036913139,59.414593,-125.7316805,55.26248765,54.85309363,54.33205929,8.715949655,0.891719745,0.108280255,0.453732062,3
