Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/14/2000,0.024469955,-0.01808833,0.062066139,0.233758272,0.013862891,0.046102896,0.01895196,0.083490465,0.296481626,0.006531702,0.012674493,0.020202744,0.008382279,-0.0102041,-0.011865663,54.83804687,0,2.329982,4.248056646,41.866901,-9.49889573,58.02024195,54.99455709,47.99441535,14.2017475,0.426630387,0.573369613,0.443929941,2
6/20/2000,-0.041564406,0.024469955,-0.01808833,0.062066139,0.017926199,0,0.032240006,0.00508907,0.069627574,0.013862891,0.006531702,0.012674493,0.020202744,-0.02617947,-0.0102041,51.78925131,1.893112,2.475605,4.121452957,41.866901,-24.49858856,57.70715045,54.6974149,49.76344442,13.64805979,0.454268293,0.545731707,0.521688125,3
6/23/2000,-0.070035494,-0.041564406,0.024469955,-0.01808833,0.004095588,-0.053062827,-0.070989026,-0.038749021,-0.065899957,0.017926199,0.013862891,0.006531702,0.012674493,-0.05194148,-0.02617947,47.27787118,-0.072811,4.368721,4.13911496,42.51929648,-60.79390515,57.05184265,54.07643258,51.00324045,12.94880662,0.531135558,0.468864442,0.539307783,2
6/29/2000,-0.063117057,-0.070035494,-0.041564406,0.024469955,0.006042314,-0.096131291,-0.153289706,-0.171215906,-0.1389759,0.004095588,0.017926199,0.013862891,0.006531702,-0.033901552,-0.05194148,43.81249326,-3.494976,4.73278,4.181519605,43.14559614,-95.60349729,56.1489738,53.21967804,51.47886026,12.90864311,0.676806136,0.323193864,0.506317457,3
7/5/2000,0.078643089,-0.063117057,-0.070035494,-0.041564406,0.002773889,0.089785285,-0.012388321,-0.069546736,-0.087472935,0.006042314,0.004095588,0.017926199,0.013862891,-0.016807137,-0.033901552,48.87998904,3.713409,4.514343,4.205292705,43.74684382,-42.50954023,55.24610495,52.82337253,51.84047388,12.14862155,0.427983644,0.572016356,0.476647827,2
7/11/2000,0.024897628,0.078643089,-0.063117057,-0.070035494,0.021506224,0.043485075,0.130496471,0.028322865,-0.02883555,0.002773889,0.006042314,0.004095588,0.017926199,-0.01643867,-0.016807137,50.4831303,8.227757,2.766857,4.102547298,44.32404158,-17.86114419,54.64904685,52.63787549,52.29375525,11.46767999,0.299107039,0.700892961,0.477551984,3
7/13/2000,0.001365169,0.024897628,0.078643089,-0.063117057,0,0.017508865,0.039487716,0.126499112,0.024325506,0.021506224,0.002773889,0.006042314,0.004095588,-0.024325506,-0.01643867,50.57586128,11.067425,1.310615,3.903123562,44.87815144,-7.829246477,53.8990833,52.5161755,52.78092743,10.83537712,0.294642814,0.705357186,0.548716039,1
7/18/2000,-0.006844654,0.001365169,0.024897628,0.078643089,0.004067821,-0.013441044,0.004067821,0.026046671,0.113058067,0,0.021506224,0.002773889,0.006042314,-0.015058427,-0.024325506,50.07094646,-0.436871,1.019367,3.69714095,45.4100969,-4.957707882,53.13091675,52.43122824,53.0743,10.16793904,0.316964244,0.683035756,0.629295065,2
7/21/2000,-0.015225246,-0.006844654,0.001365169,0.024897628,0.001372665,-0.009556349,-0.027065215,-0.009556349,0.012422501,0.004067821,0,0.021506224,0.002773889,-0.02644556,-0.015058427,48.91399167,-4.65997,1.456241,3.537076668,45.92076455,-11.68341967,52.5302177,52.34316026,53.03307132,9.556261951,0.366071512,0.633928488,0.676652649,2
7/28/2000,-0.052983003,-0.015225246,-0.006844654,0.001365169,0.011494399,-0.039220752,-0.050149766,-0.067658631,-0.050149766,0.001372665,0.004067821,0,0.021506224,-0.033801876,-0.02644556,45.13612059,-6.334645,3.494976,3.534069478,46.41100548,-58.57104638,51.9804872,52.05572629,52.51786807,9.521643678,0.531249971,0.468750029,0.655257956,4
