Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
2/10/2000,0.04176946,-0.087307573,0.063887266,-0.068220908,0.027794963,0.065708719,0.001097017,0.061035877,0.02554274,0.048009126,0.016331307,0.012739058,0.062145335,-0.027430323,-0.011778748,51.39171311,-1.092178,4.951214,4.192658858,73.12934006,-24.33980158,65.5490024,66.04915164,67.03937941,24.37157191,0.793103162,0.206896838,0.247074606,1
2/11/2000,0,0.04176946,-0.087307573,0.063887266,0.004347788,0.038700182,0.076613938,0.012002237,0.071941096,0.027794963,0.048009126,0.016331307,0.012739058,-0.078138206,-0.027430323,51.39171311,0.436874,5.315273,4.272845583,72.66229953,-40.21983911,65.8111257,65.90872875,66.08448042,22.90989081,0.793103162,0.206896838,0.180076803,0
2/14/2000,-0.029990713,0,0.04176946,-0.087307573,0.009248621,-0.05485425,-0.020501857,0.017411899,-0.047199802,0.004347788,0.027794963,0.048009126,0.016331307,-0.019942026,-0.078138206,48.59545722,-4.150284,2.621235,4.154873398,72.21394063,-113.4111942,65.84025055,65.56304535,64.96770556,21.45959332,0.942528485,0.057471515,0.1704983,0
2/15/2000,-0.01652935,-0.029990713,0,0.04176946,0.018018473,-0.024692629,-0.0887955,-0.054443107,-0.01652935,0.009248621,0.004347788,0.027794963,0.048009126,-0.032022457,-0.019942026,47.10907984,-7.572449,4.004662,4.144144012,71.78351609,-163.139651,65.5198778,65.1175052,63.75381625,20.53450545,0.812785404,0.187214596,0.148515757,0
2/16/2000,-0.032670766,-0.01652935,-0.029990713,0,0.028205409,0.002421275,-0.040289826,-0.104392697,-0.070040304,0.018018473,0.009248621,0.004347788,0.027794963,-0.002490627,-0.032022457,44.29517899,-14.198337,2.766853,4.045766083,70.9671124,-168.0500768,65.1012089,64.51524598,62.29753218,19.67549528,0.936073043,0.063926957,0.136829023,0
2/17/2000,0.050370375,-0.032670766,-0.01652935,-0.029990713,0.024809306,0.063838633,0.0380545,-0.004656602,-0.068759473,0.028205409,0.018018473,0.009248621,0.004347788,-0.01932424,-0.002490627,49.36216675,-9.683994,3.203727,3.985620434,70.19969294,-92.74021254,64.98470975,64.24410809,61.20141219,18.27889802,0.744292111,0.255707889,0.140782829,1
2/18/2000,-0.01769961,0.050370375,-0.032670766,-0.01652935,0.019231329,0.004773279,0.043802606,0.018018473,-0.024692629,0.024809306,0.028205409,0.018018473,0.009248621,-0.017136333,-0.01932424,47.69359667,-6.189018,3.276543,3.934972046,69.47831864,-109.1129573,64.7844767,63.88004801,60.44507186,17.17461957,0.812785404,0.187214596,0.14692355,0
2/22/2000,0.051055172,-0.01769961,0.050370375,-0.032670766,0.017937716,0.088224217,0.073766167,0.112795494,0.08701136,0.019231329,0.024809306,0.028205409,0.018018473,-0.015963851,-0.017136333,52.74007666,1.456238,4.368721,3.965954114,68.8002268,-2.412103992,64.8026797,63.84017471,60.36061279,16.83717501,0.611872111,0.388127889,0.20497214,0
2/23/2000,0.045336646,0.051055172,-0.01769961,0.050370375,0.003234519,0.049651706,0.119938207,0.105480157,0.144509484,0.017937716,0.019231329,0.024809306,0.028205409,-0.022939306,-0.015963851,56.91173101,0.291244,3.276542,3.916710392,68.16282047,60.1038165,64.9628661,64.08288112,61.03522639,16.97254746,0.370000249,0.629999751,0.28258245,0
2/24/2000,0.020332473,0.045336646,0.051055172,-0.01769961,0.024508522,0.025587779,0.072004966,0.142291467,0.127833417,0.003234519,0.017937716,0.019231329,0.024809306,-0.016313547,-0.022939306,58.72978869,7.281201,2.766861,3.834578292,58.176788,83.10612062,65.12669325,64.44208701,62.30320121,17.40585507,0.039735274,0.960264726,0.446087219,1
